image_id,explainer,judge_model,AUC,DROP,InflectionPoint_max_slope,InflectionPoint_threshold
image_00149,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00150,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00150,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00151,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00151,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00152,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00152,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00153,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00153,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00154,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00154,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00155,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00155,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00156,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00156,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00157,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00157,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00158,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00158,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00159,grad_cam,resnet50,0.325,1.0,5.0,10.0
image_00159,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00160,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00160,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00161,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00161,grad_cam,mobilenet_v2,0.5,0.0,25.0,50.0
image_00162,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00162,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00163,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00163,grad_cam,mobilenet_v2,0.4,0.0,0.0,5.0
image_00164,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00164,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00165,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00165,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00166,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00166,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00167,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00167,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00168,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00168,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00169,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00169,grad_cam,mobilenet_v2,0.25,0.0,50.0,75.0
image_00170,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00170,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00171,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00171,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00172,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00172,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00173,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00173,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00174,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00174,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00175,grad_cam,resnet50,0.025,1.0,0.0,5.0
image_00175,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00176,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00176,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00177,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00177,grad_cam,mobilenet_v2,0.125,-1.0,0.0,75.0
image_00178,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00178,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00179,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00179,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00180,grad_cam,resnet50,0.425,1.0,10.0,25.0
image_00180,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00181,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00181,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00182,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00182,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00183,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00183,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00184,grad_cam,resnet50,0.175,1.0,10.0,25.0
image_00184,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00185,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00185,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00186,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00186,grad_cam,mobilenet_v2,0.425,1.0,10.0,25.0
image_00187,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00187,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00188,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00188,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00189,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00189,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00190,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00190,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00191,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00191,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00192,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00192,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00193,grad_cam,resnet50,0.025,1.0,0.0,5.0
image_00193,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00194,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00194,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00195,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00195,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00196,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00196,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00197,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00197,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00198,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00198,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00199,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00199,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00200,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00200,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00201,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00201,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00202,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00202,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00203,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00203,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00204,grad_cam,resnet50,0.5,0.0,5.0,75.0
image_00204,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00205,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00205,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00206,grad_cam,resnet50,0.45,0.0,50.0,75.0
image_00206,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00207,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00207,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00208,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00208,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00209,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00209,grad_cam,mobilenet_v2,0.325,1.0,0.0,5.0
image_00210,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00210,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00211,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00211,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00212,grad_cam,resnet50,0.175,1.0,10.0,25.0
image_00212,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00213,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00213,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00214,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00214,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00215,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00215,grad_cam,mobilenet_v2,0.125,-1.0,0.0,75.0
image_00216,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00216,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00217,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00217,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00218,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00218,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00219,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00219,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00220,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00220,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00221,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00221,grad_cam,mobilenet_v2,0.425,1.0,10.0,25.0
image_00222,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00222,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00223,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00223,grad_cam,mobilenet_v2,0.55,0.0,10.0,25.0
image_00224,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00224,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00225,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00225,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00226,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00226,grad_cam,mobilenet_v2,0.175,1.0,10.0,25.0
image_00227,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00227,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00228,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00228,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00229,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00229,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00230,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00230,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00231,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00231,grad_cam,mobilenet_v2,0.525,1.0,5.0,10.0
image_00232,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00232,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00233,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00233,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00234,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00234,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00235,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00235,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00236,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00236,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00237,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00237,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00238,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00238,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00239,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00239,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00240,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00240,grad_cam,mobilenet_v2,0.125,-1.0,0.0,75.0
image_00241,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00241,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00242,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00242,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00243,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00243,grad_cam,mobilenet_v2,0.175,1.0,10.0,25.0
image_00244,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00244,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00245,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00245,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00246,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00246,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00247,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00247,grad_cam,mobilenet_v2,0.375,-1.0,0.0,75.0
image_00248,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00248,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00249,grad_cam,resnet50,0.25,0.0,50.0,75.0
image_00249,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00250,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00250,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00251,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00251,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00252,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00252,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00253,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00253,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00254,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00254,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00255,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00255,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00256,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00256,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00257,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00257,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00258,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00258,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00259,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00259,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00260,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00260,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00261,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00261,grad_cam,mobilenet_v2,0.375,1.0,25.0,50.0
image_00262,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00262,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00263,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00263,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00264,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00264,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00265,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00265,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00266,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00266,grad_cam,mobilenet_v2,0.6,0.0,50.0,75.0
image_00267,grad_cam,resnet50,0.5,0.0,5.0,75.0
image_00267,grad_cam,mobilenet_v2,0.25,0.0,50.0,75.0
image_00268,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00268,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00269,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00269,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00270,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00270,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00271,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00271,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00272,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00272,grad_cam,mobilenet_v2,0.25,0.0,50.0,75.0
image_00273,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00273,grad_cam,mobilenet_v2,0.5,0.0,25.0,50.0
image_00274,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00274,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00275,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00275,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00276,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00276,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00277,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00277,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00278,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00278,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00279,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00279,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00280,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00280,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00281,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00281,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00282,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00282,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00283,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00283,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00284,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00284,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00285,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00285,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00286,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00286,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00287,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00287,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00288,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00288,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00289,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00289,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00290,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00290,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00291,grad_cam,resnet50,0.2,0.0,25.0,75.0
image_00291,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00292,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00292,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00293,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00293,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00294,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00294,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00295,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00295,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00296,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00296,grad_cam,mobilenet_v2,0.55,0.0,10.0,25.0
image_00297,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00297,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00298,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00298,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00299,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00299,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
